empresa,data,data_formatada,Open,High,Low,Close,Volume,retorno_diario,retorno_diario_2d,posi,ind_posi,neg,ind_neg,neu,ind_neu,indice
mrv_engenharia,2013-05-14,2013-05-14,7.136447,7.181903,6.790989,6.790989,13481770.0,0.04961844711098335,-0.18826507284865898,84.0,0.1971830985915492,52.0,0.1220657276995305,290.0,0.6807511737089202,0.0751173708920187
mrv_engenharia,2012-11-09,2012-11-09,9.527385,10.000118,9.500112,9.681932,5671642.0,-0.016091184780272754,-0.01820842443378997,122.0,0.2378167641325536,69.0,0.1345029239766081,322.0,0.6276803118908382,0.1033138401559454
mrv_engenharia,2012-05-15,2012-05-15,9.400111,9.57284,8.481918,8.572828,22735741.0,0.09212383120997447,-0.16304904572141687,100.0,0.1801801801801801,85.0,0.1531531531531531,370.0,0.6666666666666666,0.027027027027027
mrv_engenharia,2014-08-15,2014-08-15,6.845535,7.118265,6.836444,7.109174,3391149.0,-0.037789447737671324,0.0852975710349672,86.0,0.3257575757575757,29.0,0.1098484848484848,149.0,0.5643939393939394,0.2159090909090909
mrv_engenharia,2019-05-09,2019-05-09,15.02,15.88,15.02,15.6,8522200.0,-0.03788826791950266,0.0432570715185861,79.0,0.1960297766749379,35.0,0.086848635235732,289.0,0.71712158808933,0.1091811414392059
mrv_engenharia,2020-05-20,2020-05-20,15.28,15.37,15.0,15.07,8417800.0,0.013838771099970275,0.009865255938109751,122.0,0.2346153846153846,56.0,0.1076923076923077,342.0,0.6576923076923077,0.1269230769230769
mrv_engenharia,2015-08-17,2015-08-17,6.35462,6.672806,6.318256,6.390984,8646557.0,-0.005706139727500268,-0.011782147701815593,96.0,0.2376237623762376,35.0,0.0866336633663366,273.0,0.6757425742574258,0.1509900990099009
mrv_engenharia,2018-11-08,2018-11-08,11.372861,11.372861,10.481942,10.845582,10866991.0,0.047472095076039965,-0.0344862056645797,57.0,0.1945392491467577,27.0,0.0921501706484641,209.0,0.7133105802047781,0.1023890784982935
mrv_engenharia,2012-08-14,2012-08-14,10.136483,10.572852,10.163756,10.272848,6580672.0,-0.013363204240080362,0.004430659642761124,82.0,0.271523178807947,28.0,0.0927152317880794,192.0,0.6357615894039735,0.1788079470198675
mrv_engenharia,2013-08-15,2013-08-15,6.61826,7.236449,6.609169,7.118265,9509607.0,-0.07283152043255511,0.0699030820725005,110.0,0.2007299270072992,81.0,0.1478102189781022,357.0,0.6514598540145985,0.052919708029197
mrv_engenharia,2013-11-12,2013-11-12,8.181914,8.354644,7.809183,7.936457,6815739.0,0.030459154564367687,0.008938591620389921,114.0,0.2118959107806691,71.0,0.1319702602230483,353.0,0.6561338289962825,0.0799256505576208
mrv_engenharia,2017-05-15,2017-05-15,13.77289,13.981983,13.627433,13.818345,3522818.0,-0.0032948899259312315,-0.020257239975579832,51.0,0.1783216783216783,27.0,0.0944055944055944,208.0,0.7272727272727273,0.0839160839160839
mrv_engenharia,2010-05-07,2010-05-07,10.10921,10.181938,9.527385,9.66375,4958961.0,0.045065117871712926,0.0756071354147435,120.0,0.255863539445629,56.0,0.1194029850746268,293.0,0.6247334754797441,0.1364605543710021
mrv_engenharia,2014-05-15,2014-05-15,6.290983,6.418257,6.163709,6.118254,15892062.0,0.0278405766086739,-0.06302457091048329,90.0,0.2647058823529412,60.0,0.1764705882352941,190.0,0.5588235294117647,0.088235294117647
mrv_engenharia,2020-11-12,2020-11-12,19.51,19.559999,18.6,18.620001,7190600.0,0.046690829080407656,0.02387713067811654,133.0,0.2866379310344827,28.0,0.0603448275862069,303.0,0.6530172413793104,0.2262931034482758
mrv_engenharia,2011-08-10,2011-08-10,9.454657,10.618307,9.454657,10.027391,7918476.0,-0.05881302414545728,0.0765498756837698,121.0,0.2216117216117216,63.0,0.1153846153846153,362.0,0.663003663003663,0.1062271062271062
mrv_engenharia,2017-08-10,2017-08-10,12.872879,12.918334,12.500147,12.572875,2075785.0,0.02358097949240276,-0.009242850455147798,84.0,0.2079207920792079,46.0,0.1138613861386138,274.0,0.6782178217821783,0.094059405940594
mrv_engenharia,2010-08-10,2010-08-10,13.800163,14.04562,13.363794,13.372885,4620385.0,0.03145125425065648,-0.053554021677749315,136.0,0.2381786339754816,88.0,0.1541155866900175,347.0,0.6077057793345009,0.0840630472854641
mrv_engenharia,2011-05-13,2011-05-13,13.372885,13.909255,13.372885,13.709252,8071484.0,-0.024841783932627447,0.027564721497623772,77.0,0.2452229299363057,33.0,0.1050955414012738,204.0,0.6496815286624203,0.1401273885350318
mrv_engenharia,2011-11-16,2011-11-16,10.000118,10.218302,9.818297,10.100119,5721142.0,-0.009950313031595897,-0.05252244283771569,97.0,0.3255033557046979,38.0,0.1275167785234899,163.0,0.5469798657718121,0.197986577181208
mrv_engenharia,2015-05-13,2015-05-13,7.363723,7.372814,6.909172,6.945536,3643156.0,0.05846649618292896,-0.011575672305058467,65.0,0.2166666666666666,42.0,0.14,193.0,0.6433333333333333,0.0766666666666666
mrv_engenharia,2018-05-08,2018-05-08,13.427431,13.500159,12.945607,13.363794,2557359.0,0.004750594247236636,0.02239655261450637,64.0,0.1715817694369973,15.0,0.0402144772117962,294.0,0.7882037533512064,0.131367292225201
mrv_engenharia,2020-08-13,2020-08-13,17.85,18.48,17.799999,17.9,5123300.0,-0.002797204621061031,0.030515489281140108,127.0,0.2534930139720558,43.0,0.0858283433133732,331.0,0.6606786427145709,0.1676646706586826
mrv_engenharia,2014-11-13,2014-11-13,7.209176,7.272813,6.80008,6.845535,2371241.0,0.05175804412500277,-0.04828065663168637,93.0,0.3309608540925267,33.0,0.1174377224199288,155.0,0.5516014234875445,0.2135231316725978
mrv_engenharia,2019-08-09,2019-08-09,22.360001,22.360001,21.07,21.25,9996100.0,0.05091679763919078,-0.07139348549220843,77.0,0.2058823529411764,26.0,0.0695187165775401,271.0,0.7245989304812834,0.1363636363636363
mrv_engenharia,2010-11-11,2010-11-11,14.381988,15.036541,14.372897,15.000177,8201173.0,-0.042085410728940204,0.028710124689072993,172.0,0.2819672131147541,80.0,0.1311475409836065,358.0,0.5868852459016394,0.1508196721311475
mrv_engenharia,2019-11-13,2019-11-13,17.5,17.889999,17.190001,17.6,5897500.0,-0.005698021114637779,-0.04273167187729708,86.0,0.2299465240641711,28.0,0.0748663101604278,260.0,0.6951871657754011,0.1550802139037433
