Date,Open,High,Low,Close,Adj Close,Volume
2017-05-23,5.897225,6.018137,5.880736,5.924705,4.317482,53300251
2017-05-24,6.034625,6.100577,5.963177,5.990657,4.365540,58110827
2017-05-25,5.996153,6.034625,5.803792,5.836768,4.253398,40525542
2017-05-26,5.952185,6.067601,5.930201,6.007145,4.377556,25721908
2017-05-30,6.023633,6.051113,5.990657,6.018137,4.385564,16659160
2017-05-31,6.078593,6.106073,5.985161,5.996153,4.369546,40558838
2017-06-01,6.034625,6.056609,5.897225,5.924705,4.319460,18580006
2017-06-02,6.007145,6.034625,5.930201,5.979665,4.359526,18821818
2017-06-05,5.930201,6.018137,5.864248,5.897225,4.299425,19416430
2017-06-06,5.908217,6.045617,5.902721,6.018137,4.387578,17895874
2017-06-07,6.111569,6.161033,6.056609,6.117065,4.459701,23857648
2017-06-08,6.051113,6.078593,5.979665,6.073097,4.427646,17193183
2017-06-09,6.084089,6.106073,5.941193,5.957681,4.343499,20863661
2017-06-12,5.957681,5.957681,5.836768,5.908217,4.307441,22656596
2017-06-13,5.935697,5.985161,5.880736,5.968673,4.351515,15389149
2017-06-14,6.106073,6.155537,6.034625,6.056609,4.415626,27031038
2017-06-15,5.941193,6.001649,5.875240,5.985161,4.363534,13256149
2017-06-16,6.001649,6.034625,5.957681,6.001649,4.375556,21177888
2017-06-19,5.990657,6.100577,5.979665,6.040121,4.403605,14346394
2017-06-20,5.990657,6.018137,5.831272,5.831272,4.251344,31341069
2017-06-21,5.853256,5.908217,5.803792,5.853256,4.267368,17942817
2017-06-22,5.864248,5.908217,5.820280,5.869744,4.279390,11364415
2017-06-23,5.858752,5.886232,5.814784,5.831272,4.251344,8683018
2017-06-26,5.908217,6.073097,5.886232,6.040121,4.403605,14679908
2017-06-27,5.974169,6.056609,5.902721,5.963177,4.347507,14333293
2017-06-28,5.996153,6.040121,5.913713,6.018137,4.387578,16649881
2017-06-29,6.051113,6.056609,5.952185,6.034625,4.399595,15871135
2017-06-30,6.067601,6.139049,6.056609,6.073097,4.427646,14498140
2017-07-03,6.144545,6.172025,6.106073,6.139049,4.477754,10786178
2017-07-05,6.122561,6.199505,6.034625,6.155537,4.489783,12388248
2017-07-06,6.122561,6.133553,6.023633,6.056609,4.417624,21070902
2017-07-07,6.106073,6.128057,5.974169,6.029129,4.397581,31128370
2017-07-10,6.095081,6.144545,6.089585,6.122561,4.465729,15569825
2017-07-11,6.128057,6.243473,6.122561,6.226985,4.541894,15605852
2017-07-12,6.254466,6.424842,6.177521,6.380874,4.654138,39440574
2017-07-13,6.391866,6.430338,6.364386,6.391866,4.662158,22468460
2017-07-14,6.452322,6.468810,6.380874,6.452322,4.706252,25297054
2017-07-17,6.441330,6.452322,6.364386,6.397362,4.666164,18900056
2017-07-18,6.402858,6.468810,6.369882,6.452322,4.706252,13358587
2017-07-19,6.485298,6.507282,6.369882,6.397362,4.666164,12638429
2017-07-20,6.441330,6.463314,6.391866,6.424842,4.686208,10435924
2017-07-21,6.441330,6.474306,6.375378,6.397362,4.666164,13356950
2017-07-24,6.419346,6.452322,6.380874,6.435834,4.694225,14610221
2017-07-25,6.490794,6.523770,6.380874,6.419346,4.682199,16705557
2017-07-26,6.391866,6.463314,6.347898,6.441330,4.698235,26428965
2017-07-27,6.474306,6.518274,6.380874,6.424842,4.686208,20888406
2017-07-28,6.408354,6.496290,6.375378,6.474306,4.722287,25677330
2017-07-31,6.507282,6.578730,6.457818,6.545754,4.774400,17237579
2017-08-01,6.655675,6.815059,6.639187,6.749107,4.924793,29094533
2017-08-02,6.705139,6.859027,6.694147,6.848035,4.996980,27254654
2017-08-03,6.820555,6.859027,6.793075,6.826051,4.980937,30201699
2017-08-04,6.842539,6.870019,6.765595,6.793075,4.956875,9955394
2017-08-07,6.765595,6.902995,6.754603,6.892003,5.029064,12062193
2017-08-08,6.881011,7.034900,6.875515,6.963451,5.081198,32160026
2017-08-09,6.848035,6.892003,6.826051,6.864523,5.009011,15448465
2017-08-10,6.837043,6.842539,6.727123,6.732619,4.912759,13350035
2017-08-11,6.738115,6.837043,6.677659,6.793075,4.956875,12370053
2017-08-14,6.776587,6.930475,6.765595,6.842539,4.992967,14269611
